case_number,court_division,court_location,disposition,disposition_date,disposition_found,duration,execution,file_date,hasAttyD,hasAttyP,inhad,inhap,initiating_action,isEntityD,isEntityP,judgment,judgment_for,judgment_for_pdu,judgment_total,latest_docket_date,property_address_city,property_address_state,property_address_zip,reason
21H84SP000155,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - No Cause,0,1,,,,,1/22/2021,,,,no cause
21H84SP000156,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000157,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - No Cause,0,1,,,,,1/22/2021,,,,no cause
21H84SP000158,eastern,,Pending,,,,,1/14/2021,0,0,0,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000159,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000160,eastern,,Pending,,,,,1/14/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000161,eastern,,Pending,,,,,1/14/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/22/2021,,,,non-payment
21H84SP000162,eastern,,Pending,,,,,1/14/2021,0,0,0,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/22/2021,,,,non-payment
21H84SP000163,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000164,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000165,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000166,eastern,,Pending,,,,,1/15/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/22/2021,,,,non-payment
21H84SP000167,eastern,,Pending,,,,,1/15/2021,0,0,0,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000168,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000169,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000170,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000171,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/22/2021,,,,cause
21H84SP000172,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000173,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000174,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/22/2021,,,,cause
21H84SP000175,eastern,,Pending,,,,,1/15/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/22/2021,,,,non-payment
21H84SP000176,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000177,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000178,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000179,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000180,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000181,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000182,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000183,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000184,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000185,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Cause,0,1,,,,,1/22/2021,,,,cause
21H84SP000186,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000187,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000188,eastern,,Pending,,,,,1/15/2021,0,1,1,0,Efiled SP Summons and Complaint - Non-payment of Rent,0,1,,,,,1/22/2021,,,,non-payment
21H84SP000189,eastern,,Pending,,,,,1/16/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/22/2021,,,,non-payment
21H84SP000136,eastern,,Pending,,,,,1/19/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/19/2021,Hyde Park,MA,02136,non-payment
21H84SP000137,eastern,,Pending,,,,,1/19/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/19/2021,Hyde Park,MA,02136,non-payment
21H84SP000138,eastern,,Pending,,,,,1/19/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/19/2021,Hyde Park,MA,02136,non-payment
21H84SP000139,eastern,,Pending,,,,,1/18/2021,0,1,0,1,Efiled SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/19/2021,,,,non-payment
21H84SP000140,eastern,,Pending,,,,,1/20/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/20/2021,Dorchester Center,MA,02124,non-payment
21H84SP000141,eastern,,Pending,,,,,1/20/2021,0,0,0,0,SP Summons and Complaint - Cause,0,0,,,,,1/20/2021,Dorchester Center,MA,02124,cause
21H84SP000142,eastern,,Pending,,,,,1/20/2021,0,0,0,0,SP Summons and Complaint - Cause,0,0,,,,,1/20/2021,Dorchester Center,MA,02124,cause
21H84SP000143,eastern,,Pending,,,,,1/20/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/20/2021,Dorchester Center,MA,02124,non-payment
21H84SP000144,eastern,,Pending,,,,,1/20/2021,0,0,0,0,SP Summons and Complaint - Non-payment of Rent,0,0,,,,,1/20/2021,Roxbury,MA,02119,non-payment
