,STATEFP,COUNTYFP,TRACTCE,AFFGEOID,GEOID,NAME,LSAD,ALAND,AWATER,geometry
30,25,017,373200,1400000US25017373200,25017373200,3732,CT,1277471,13734,"POLYGON ((-71.209537 42.361503, -71.20600499999999 42.363696, -71.204381 42.365122, -71.204486 42.365785, -71.202029 42.36582, -71.19835499999999 42.367392, -71.196331 42.367178, -71.195206 42.367734, -71.19221499999999 42.365424, -71.196298 42.361802, -71.19309199999999 42.361052, -71.195217 42.358823, -71.195345 42.357262, -71.195111 42.355904, -71.19526499999999 42.354948, -71.195678 42.354861, -71.19883399999999 42.354009, -71.203188 42.355882, -71.206937 42.356706, -71.20607099999999 42.357347, -71.20880799999999 42.359281, -71.207728 42.36024, -71.209537 42.361503))"
31,25,017,382400,1400000US25017382400,25017382400,3824,CT,4662721,225690,"POLYGON ((-71.379993 42.27202399999999, -71.37630299999999 42.278155, -71.370457 42.278168, -71.36379699999999 42.27935799999999, -71.36118399999999 42.279634, -71.35819599999999 42.280337, -71.35574199999999 42.280886, -71.353043 42.281445, -71.352121 42.281723, -71.347244 42.28340499999999, -71.34729 42.280741, -71.346982 42.27911599999999, -71.346531 42.276844, -71.34541899999999 42.274055, -71.34508 42.268566, -71.343069 42.265345, -71.342319 42.258735, -71.345032 42.259392, -71.350464 42.259133, -71.35553399999999 42.259749, -71.35641199999999 42.259558, -71.35710899999999 42.261594, -71.356607 42.263035, -71.361243 42.264815, -71.37683299999999 42.269489, -71.381728 42.270383, -71.379993 42.27202399999999))"
32,25,017,385100,1400000US25017385100,25017385100,3851,CT,17363835,579476,"POLYGON ((-71.522178 42.266454, -71.520642 42.26659799999999, -71.519228 42.267634, -71.513882 42.267585, -71.511422 42.266027, -71.510091 42.266001, -71.508985 42.264486, -71.506478 42.264276, -71.505928 42.266578, -71.505882 42.272938, -71.49957499999999 42.284992, -71.499015 42.286062, -71.497046 42.289829, -71.49142599999999 42.288162, -71.460859 42.279096, -71.445606 42.271095, -71.44461699999999 42.270588, -71.44859199999999 42.264458, -71.45086499999999 42.26206, -71.45250899999999 42.261128, -71.45578999999999 42.259956, -71.460032 42.259652, -71.46450299999999 42.260011, -71.464056 42.259539, -71.467119 42.255688, -71.467387 42.255253, -71.471953 42.251243, -71.47640699999999 42.24575, -71.48611099999999 42.241332, -71.486001 42.24696, -71.522757 42.255207, -71.522178 42.266454))"
33,25,021,400500,1400000US25021400500,25021400500,4005,CT,557063,0,"POLYGON ((-71.13878699999999 42.338361, -71.13721099999999 42.338727, -71.1352 42.33923, -71.134429 42.339406, -71.13017099999999 42.3396, -71.123616 42.341364, -71.12508 42.33731, -71.126351 42.336949, -71.128024 42.336319, -71.12805999999999 42.33561, -71.12881999999999 42.33546, -71.13132299999999 42.332939, -71.13257 42.33273, -71.133678 42.334581, -71.13844 42.33736, -71.138555 42.337692, -71.13878699999999 42.338361))"
34,25,021,404302,1400000US25021404302,25021404302,4043.02,CT,2580733,447124,"POLYGON ((-71.326396 42.304402, -71.32534 42.30448, -71.31276099999999 42.305411, -71.301006 42.305953, -71.30057499999999 42.305967, -71.29755 42.30598, -71.29648899999999 42.306142, -71.291957 42.307135, -71.28766999999999 42.3032, -71.287043 42.302431, -71.293395 42.297891, -71.29506599999999 42.297106, -71.29729499999999 42.296518, -71.29939499999999 42.296331, -71.310101 42.296463, -71.314402 42.295956, -71.321658 42.29389399999999, -71.323662 42.297415, -71.326351 42.304289, -71.326396 42.304402))"
35,25,025,981000,1400000US25025981000,25025981000,9810,CT,1135611,4752,"POLYGON ((-71.13057599999999 42.294559, -71.12932599999999 42.296497, -71.13006799999999 42.298184, -71.129622 42.29852899999999, -71.12792499999999 42.300157, -71.12516099999999 42.303195, -71.12467199999999 42.305194, -71.12308399999999 42.305163, -71.12104699999999 42.308386, -71.12167099999999 42.308656, -71.12146299999999 42.308685, -71.12025 42.308347, -71.11952099999999 42.306715, -71.120069 42.305194, -71.119789 42.304054, -71.11844499999999 42.302813, -71.117661 42.302553, -71.12019699999999 42.300947, -71.120108 42.299735, -71.11742199999999 42.300205, -71.11543399999999 42.298903, -71.12129399999999 42.295199, -71.12217199999999 42.294556, -71.12307699999999 42.293735, -71.12617999999999 42.29008899999999, -71.12734399999999 42.290999, -71.127847 42.291, -71.13046299999999 42.293156, -71.13057599999999 42.294559))"
36,25,027,707100,1400000US25027707100,25027707100,7071,CT,10278359,712533,"POLYGON ((-72.01294399999999 42.559163, -72.00754599999999 42.559915, -72.00403299999999 42.561173, -71.998153 42.564208, -71.997061 42.564772, -71.99129099999999 42.567329, -71.988891 42.567564, -71.98677599999999 42.567263, -71.978431 42.564073, -71.9721 42.562311, -71.96954199999999 42.562069, -71.95574499999999 42.561796, -71.950907 42.561429, -71.951807 42.560311, -71.961333 42.551786, -71.96392399999999 42.549432, -71.959405 42.54637899999999, -71.97244999999999 42.536174, -71.97556999999999 42.535863, -71.979686 42.53231, -72.00138 42.546614, -72.020669 42.559127, -72.01294399999999 42.559163))"
37,25,027,716200,1400000US25027716200,25027716200,7162,CT,2115911,14606,"POLYGON ((-71.69586699999999 42.429994, -71.69357599999999 42.431991, -71.688191 42.436744, -71.686132 42.436365, -71.686038 42.436336, -71.681067 42.435433, -71.682309 42.433689, -71.68038 42.432645, -71.67797899999999 42.431902, -71.680841 42.428268, -71.678915 42.423422, -71.681485 42.422904, -71.68495 42.42114, -71.687268 42.420472, -71.68918699999999 42.420372, -71.692239 42.420804, -71.69379099999999 42.421329, -71.701438 42.425102, -71.69586699999999 42.429994))"
38,25,005,610203,1400000US25005610203,25005610203,6102.03,CT,14223657,240712,"POLYGON ((-71.225746 42.018209, -71.217208 42.019075, -71.217168 42.024499, -71.21641699999999 42.024619, -71.214366 42.024966, -71.209017 42.025804, -71.207864 42.027534, -71.201268 42.029695, -71.19989 42.030662, -71.198376 42.03185, -71.192837 42.032563, -71.189263 42.031624, -71.185751 42.030817, -71.18429399999999 42.030263, -71.18222799999999 42.02921, -71.18081599999999 42.028748, -71.16144799999999 42.02601, -71.159263 42.015433, -71.158704 42.012624, -71.16826999999999 42.008477, -71.182434 42.002334, -71.190907 41.999579, -71.202861 41.995696, -71.206791 41.994162, -71.210517 41.992748, -71.210983 41.99628999999999, -71.214725 42.001757, -71.213471 42.003433, -71.213207 42.006077, -71.219723 42.00899099999999, -71.21973299999999 42.011719, -71.22147799999999 42.012358, -71.223139 42.012679, -71.22446099999999 42.017499, -71.225746 42.018209))"
39,25,005,630101,1400000US25005630101,25005630101,6301.01,CT,989288,93431,"POLYGON ((-71.33923 41.992248, -71.338247 41.991628, -71.33732599999999 41.992821, -71.33879499999999 41.995092, -71.326932 41.999647, -71.32754 41.998498, -71.32897899999999 41.994524, -71.32900699999999 41.993342, -71.32943899999999 41.993122, -71.33127499999999 41.988219, -71.331834 41.986311, -71.332443 41.98302899999999, -71.3381 41.983487, -71.339085 41.984356, -71.33923 41.992248))"
