,NAME,num_eviction,poverty_rate
611,7331.01,2,10.6
612,805.0,2,24.3
613,1702.0,2,13.1
614,1804.0,2,0.0
615,2518.0,2,7.6
616,2003.0,2,0.0
617,2503.0,2,15.9
618,2502.0,2,23.4
619,147.0,2,5.9
620,2217.0,2,4.6
621,151.0,2,2.9
622,6451.01,2,5.1
623,6501.01,2,6.8
624,2173.0,2,21.6
625,401.0,2,6.9
626,401.0,2,2.1
627,2172.01,2,5.3
628,3510.0,2,1.8
629,2109.0,2,3.0
630,2103.0,2,3.7
631,2081.01,2,7.5
632,2066.0,2,13.6
633,2059.0,2,7.0
634,2054.0,2,2.8
635,2052.0,2,4.2
636,6528.0,2,5.2
637,6541.0,2,2.4
638,501.01,2,18.1
639,2542.0,2,10.9
640,2662.0,2,7.1
641,2544.02,2,0.2
642,3324.0,2,6.2
643,8132.06,2,4.7
644,4131.0,2,3.6
645,4134.01,2,2.3
646,8127.02,2,6.1
647,4162.0,2,6.1
648,103.06,2,8.6
649,3344.0,2,3.0
650,4176.02,2,1.3
651,3333.0,2,2.8
652,8002.02,2,15.7
653,4182.0,2,4.4
654,3371.02,2,3.5
655,4194.0,2,7.1
656,4196.0,2,1.3
657,3251.0,2,1.9
658,3224.0,2,4.0
659,3223.0,2,7.6
660,8109.02,2,11.1
661,4431.01,2,2.2
662,3165.0,2,0.0
663,4563.01,2,14.6
664,4563.02,2,12.0
665,8132.09,2,6.2
666,8134.03,2,2.4
667,8103.0,2,14.3
668,9005.0,2,6.6
669,9505.0,2,1.3
670,3513.0,2,9.5
671,3422.01,2,3.2
672,3531.01,2,15.2
673,9342.0,2,6.2
674,3566.02,2,1.9
675,4.02,2,1.6
676,9215.0,2,16.3
677,9214.0,2,10.5
678,3631.04,2,0.0
679,3417.0,2,7.5
680,4012.0,2,8.5
681,3739.0,2,3.2
682,3741.0,2,1.7
683,3822.0,2,5.2
684,3411.01,2,3.4
685,3399.0,2,4.1
686,3835.02,2,2.0
687,8213.0,2,5.2
688,3883.0,2,47.2
689,4004.0,2,3.0
690,4010.0,2,11.2
691,8106.01,2,19.0
692,106.0,2,1.6
693,106.0,2,10.6
694,708.0,2,3.0
695,3111.0,2,14.9
696,5091.01,2,4.4
697,5101.0,2,4.1
698,3125.01,2,11.0
699,5105.01,2,6.8
700,117.0,2,0.0
701,118.01,2,4.5
702,3116.0,2,11.4
703,5110.0,2,19.1
704,8011.02,2,20.2
705,6001.0,2,3.0
706,5113.02,2,14.5
707,127.0,2,2.2
708,5202.02,2,1.1
709,5303.0,2,0.0
710,5221.02,2,2.1
711,8015.03,2,18.4
712,8015.02,2,21.7
713,5251.01,2,1.4
714,5601.0,2,1.0
715,8015.01,2,23.5
716,111.0,2,4.8
717,2603.01,2,2.3
718,8026.02,2,3.7
719,2604.01,2,4.2
720,3131.02,2,3.5
721,6122.0,2,1.1
722,6111.02,2,2.2
723,6102.02,2,2.3
724,6101.0,2,1.3
725,5062.02,2,2.0
726,7382.01,1,3.5
727,711.01,1,6.8
728,509.01,1,13.7
729,143.0,1,0.7
730,507.0,1,12.2
731,8219.01,1,0.0
732,8219.04,1,6.3
733,8210.0,1,4.6
734,612.0,1,9.2
735,7393.0,1,5.0
736,7394.0,1,0.0
737,8207.0,1,13.9
738,8205.0,1,8.4
739,8203.0,1,4.5
740,8003.0,1,6.6
741,8014.02,1,17.7
742,122.0,1,0.0
743,5.02,1,3.6
744,126.01,1,2.2
745,7.01,1,0.0
746,608.0,1,6.4
747,9141.0,1,1.5
748,130.02,1,2.9
749,9313.0,1,6.7
750,5.04,1,0.0
751,7614.0,1,1.3
752,9332.0,1,0.5
753,511.01,1,15.9
754,8202.04,1,2.7
755,8226.06,1,3.7
756,9351.0,1,3.8
757,7362.0,1,0.0
758,7364.0,1,2.2
759,128.0,1,8.9
760,7.03,1,13.3
761,9352.0,1,4.1
762,3.02,1,0.0
763,5.03,1,8.5
764,7361.0,1,2.8
765,203.01,1,0.0
766,7395.0,1,1.9
767,506.0,1,0.0
768,107.0,1,6.1
769,414.0,1,16.5
770,8121.01,1,4.9
771,8120.02,1,20.7
772,8119.0,1,0.7
773,7481.0,1,6.3
774,108.0,1,4.8
775,8115.0,1,61.2
776,410.0,1,8.5
777,409.0,1,3.0
778,8024.0,1,7.8
779,8113.02,1,4.1
780,149.0,1,2.5
781,8112.0,1,6.4
782,108.02,1,0.0
783,109.0,1,4.0
784,110.02,1,4.9
785,7561.02,1,2.3
786,8107.0,1,8.0
787,7552.0,1,1.5
788,8104.04,1,2.3
789,8104.03,1,13.0
790,8101.0,1,4.5
791,7471.01,1,1.3
792,7461.0,1,0.8
793,104.05,1,31.8
794,8016.04,1,4.0
795,101.04,1,6.0
796,7411.01,1,1.2
797,102.04,1,13.0
798,8137.02,1,4.7
799,203.02,1,0.0
800,8133.03,1,2.0
801,505.0,1,6.4
802,8016.03,1,3.3
803,8132.08,1,3.2
804,8132.07,1,6.4
805,8131.01,1,10.2
806,7574.0,1,11.6
807,8130.0,1,5.2
808,120.02,1,1.8
809,504.0,1,4.5
810,8129.02,1,3.1
811,415.02,1,6.8
812,8128.0,1,5.0
813,118.02,1,4.5
814,8124.04,1,7.6
815,8124.01,1,2.4
816,104.03,1,21.5
817,8134.01,1,6.1
818,3509.0,1,0.0
819,803.0,1,17.6
820,3311.02,1,1.5
821,3332.0,1,5.3
822,4178.02,1,25.4
823,3341.0,1,3.3
824,4176.01,1,12.8
825,4175.01,1,7.9
826,4171.0,1,0.8
827,4164.0,1,3.2
828,4163.0,1,1.3
829,3351.0,1,1.3
830,4141.0,1,1.4
831,3353.01,1,1.0
832,2.01,1,5.1
833,4132.0,1,15.8
834,3363.0,1,0.0
835,4121.0,1,0.8
836,4113.02,1,6.0
837,3364.01,1,3.5
838,3364.02,1,1.2
839,4104.0,1,5.6
840,4179.02,1,14.8
841,3281.0,1,1.3
842,4061.02,1,1.5
843,4192.0,1,5.6
844,3141.01,1,8.8
845,5022.0,1,5.4
846,3155.0,1,4.1
847,3164.0,1,2.3
848,5001.01,1,4.2
849,3171.02,1,3.3
850,4422.02,1,4.2
851,4422.01,1,1.1
852,3173.02,1,6.7
853,4412.02,1,1.9
854,4225.02,1,12.0
855,3183.0,1,0.0
856,3184.0,1,0.8
857,3221.0,1,1.4
858,4212.0,1,3.3
859,3231.0,1,1.5
860,4203.01,1,7.9
861,4202.02,1,9.1
862,4193.0,1,8.7
863,3371.01,1,5.6
864,4061.01,1,4.0
865,5062.03,1,3.3
866,3688.0,1,8.5
867,3641.01,1,4.8
868,3632.02,1,0.0
869,3631.02,1,3.3
870,3612.0,1,0.5
871,3591.0,1,2.8
872,3585.0,1,1.5
